STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,NORTH,2001,28,33,5,28,0,28,99,53,46,2,5,52,177,1364,455,909,11,86,159,7,3,165,4,26,6,9,0,0,1729,3998
DELHI UT,NORTH EAST,2001,62,79,5,36,0,36,157,123,34,3,6,74,157,961,500,461,7,27,57,3,3,260,20,34,1,8,0,12,1477,3449
DELHI UT,NORTH WEST,2001,134,107,13,103,0,103,518,298,220,14,9,122,619,2850,1429,1421,20,55,139,3,14,429,25,102,18,22,0,22,4663,10001
DELHI UT,S.T.F.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI UT,SOUTH,2001,83,75,7,65,0,65,265,170,95,9,10,120,803,4220,1986,2234,46,100,373,1,10,307,15,96,24,22,0,103,3991,10745
DELHI UT,SOUTH WEST,2001,61,52,1,42,0,42,174,113,61,9,4,74,359,1816,772,1044,32,31,182,3,8,181,16,69,13,24,0,144,2094,5389
DELHI UT,WEST,2001,70,51,12,45,0,45,151,99,52,2,24,58,418,2100,996,1104,5,38,198,1,3,252,18,65,2,22,0,4,4151,7690
BIHAR,ARARIA,2011,69,44,14,69,0,69,115,91,24,19,2,45,62,262,58,204,266,31,14,0,14,98,26,14,0,24,0,52,1674,2914
BIHAR,ARWAL,2011,23,69,8,5,0,5,17,9,8,2,0,6,22,85,12,73,49,8,21,0,8,72,24,8,0,8,0,34,330,799
BIHAR,AURANGABAD,2011,88,105,1,18,0,18,62,60,2,31,0,38,120,299,38,261,334,74,168,0,13,366,30,32,0,152,0,172,1306,3409
BIHAR,BAGAHA,2011,38,45,6,16,1,15,62,48,14,2,0,13,43,135,3,132,137,37,100,0,11,184,13,8,0,15,0,73,685,1623
BIHAR,BANKA,2011,51,55,7,26,0,26,66,56,10,10,0,14,58,135,20,115,124,25,20,1,19,369,31,8,0,26,0,94,626,1765
BIHAR,BEGUSARAI,2011,100,40,2,17,0,17,119,94,25,12,0,40,67,345,120,225,257,40,87,0,20,595,39,12,0,39,0,411,1178,3420
BIHAR,BETTIAH,2011,74,12,2,21,0,21,118,81,37,0,1,14,117,445,137,308,245,49,77,1,16,226,32,7,0,67,0,89,2290,3903
BIHAR,BHABHUA,2011,57,62,2,9,0,9,57,36,21,4,4,29,61,219,99,120,157,14,34,0,30,255,33,32,0,17,0,79,870,2025
BIHAR,BHAGALPUR,2011,85,51,10,23,0,23,106,94,12,7,4,36,127,396,94,302,216,20,68,3,41,527,12,10,0,17,0,294,971,3024
BIHAR,BHOJPUR,2011,96,41,4,16,0,16,64,48,16,13,10,35,76,351,85,266,140,77,91,2,13,328,40,2,0,72,0,129,1964,3564
BIHAR,BUXAR,2011,65,34,1,13,0,13,76,52,24,15,2,40,108,254,48,206,214,51,75,0,6,657,37,6,0,59,0,68,455,2236
BIHAR,DARBHANGA,2011,71,92,43,34,0,34,128,97,31,15,4,17,82,447,147,300,489,301,143,0,27,1155,38,202,0,284,0,157,1658,5387
BIHAR,GAYA,2011,155,22,9,23,0,23,155,63,92,45,8,70,161,757,202,555,262,35,137,1,17,1200,56,7,0,47,0,495,1545,5207
BIHAR,GOPALGANJ,2011,77,169,0,17,0,17,139,106,33,6,0,10,65,225,86,139,276,17,166,0,26,576,35,30,0,56,0,100,1344,3334
BIHAR,JAMALPUR RLY.,2011,6,0,2,0,0,0,3,0,3,5,0,2,2,190,7,183,6,0,1,0,0,0,0,2,0,1,0,0,70,290
BIHAR,JAMUI,2011,66,140,18,23,0,23,71,28,43,19,0,28,51,184,33,151,174,12,50,0,32,589,13,34,0,40,0,56,302,1902
